"Energy (MeV)" Frequency
3.185 0.000320391
3.195 0.000285156
3.205 0.000269587
3.215 0.000262213
3.225 0.000257296
3.235 0.00025238
3.245 0.00026549
3.255 0.000249922
3.265 0.000220423
3.275 0.000248283
3.285 0.000233533
3.295 0.000243366
3.305 0.000226159
3.315 0.000204034
3.325 0.000232714
3.335 0.000203215
3.345 0.000225339
3.355 0.000204854
3.365 0.000197479
3.375 0.000188465
3.385 0.000193382
3.395 0.000204854
3.405 0.000197479
3.415 0.000171258
3.425 0.000197479
3.435 0.000180271
3.445 0.00016798
3.455 0.000191743
3.465 0.000172897
3.475 0.000174535
3.485 0.000189285
3.495 0.000176994
3.505 0.000167161
3.515 0.000174535
3.525 0.000181091
3.535 0.000167161
3.545 0.000166341
3.555 0.000145856
3.565 0.000176174
3.575 0.000154869
3.585 0.000188465
3.595 0.000173716
3.605 0.000153231
3.615 0.000172077
3.625 0.000152411
3.635 0.000162244
3.645 0.000139301
3.655 0.000144217
3.665 0.000151592
3.675 0.00015405
3.685 0.000142578
3.695 0.000176994
3.705 0.000154869
3.715 0.000154869
3.725 0.000146675
3.735 0.000139301
3.745 0.000145856
3.755 0.000131106
3.765 9.50521e-05
3.775 9.91492e-05
3.785 0.000127009
3.795 0.000138481
3.805 0.000149953
3.815 0.000136842
3.825 0.000141759
3.835 0.000138481
3.845 0.000145856
3.855 0.000154869
3.865 0.000155689
3.875 0.000149134
3.885 0.000139301
3.895 0.000157328
3.905 0.000162244
3.915 0.000137662
3.925 0.000114718
3.935 0.000140939
3.945 0.000143398
3.955 0.000131106
3.965 0.000135203
3.975 0.000129468
3.985 0.000139301
3.995 0.000140939
4.005 0.00011144
4.015 0.000145036
4.025 0.000142578
4.035 0.000120454
4.045 0.000149134
4.055 0.000144217
4.065 0.000145856
4.075 0.000165522
4.085 0.000167161
4.095 0.000150772
4.105 0.000169619
4.115 0.000151592
4.125 0.000131106
4.135 0.000137662
4.145 0.000131106
4.155 0.000131106
4.165 0.000128648
4.175 0.000131106
4.185 0.000108163
4.195 0.000120454
4.205 0.000108982
4.215 0.000100788
4.225 9.34133e-05
4.235 0.000105705
4.245 0.000109802
4.255 0.000116357
4.265 0.000114718
4.275 0.000108163
4.285 0.000136842
4.295 0.000100788
4.305 9.50521e-05
4.315 9.09551e-05
4.325 5.65396e-05
4.335 7.29279e-05
4.345 7.04697e-05
4.355 7.21085e-05
4.365 7.21085e-05
4.375 7.53862e-05
4.385 8.52191e-05
4.395 7.04697e-05
4.405 7.37473e-05
4.415 8.35803e-05
4.425 6.96503e-05
4.435 6.14561e-05
4.445 0.000104066
4.455 9.34133e-05
4.465 9.6691e-05
4.475 8.6858e-05
4.485 0.000101607
4.495 8.11221e-05
4.505 8.03027e-05
4.515 9.01356e-05
4.525 6.22755e-05
4.535 7.53862e-05
4.545 6.88309e-05
4.555 8.11221e-05
4.565 9.01356e-05
4.575 8.6858e-05
4.585 9.42327e-05
4.595 8.60386e-05
4.605 7.94832e-05
4.615 8.11221e-05
4.625 7.7025e-05
4.635 7.12891e-05
4.645 5.65396e-05
4.655 6.88309e-05
4.665 8.35803e-05
4.675 6.39144e-05
4.685 7.7025e-05
4.695 8.11221e-05
4.705 7.7025e-05
4.715 7.78444e-05
4.725 7.62056e-05
4.735 7.62056e-05
4.745 6.39144e-05
4.755 6.39144e-05
4.765 5.49008e-05
4.775 6.55532e-05
4.785 6.55532e-05
4.795 6.22755e-05
4.805 6.80114e-05
4.815 5.89979e-05
4.825 5.81785e-05
4.835 6.06367e-05
4.845 3.52348e-05
4.855 5.98173e-05
4.865 4.50678e-05
4.875 4.75261e-05
4.885 6.39144e-05
4.895 6.39144e-05
4.905 4.75261e-05
4.915 6.06367e-05
4.925 5.98173e-05
4.935 5.81785e-05
4.945 6.55532e-05
4.955 5.40814e-05
4.965 6.06367e-05
4.975 7.04697e-05
4.985 6.80114e-05
4.995 5.7359e-05
5.005 4.91649e-05
5.015 4.67066e-05
5.025 4.17902e-05
5.035 4.99843e-05
5.045 4.67066e-05
5.055 3.44154e-05
5.065 4.26096e-05
5.075 4.83455e-05
5.085 4.17902e-05
5.095 4.58872e-05
5.105 3.03184e-05
5.115 3.11378e-05
5.125 2.94989e-05
5.135 2.94989e-05
5.145 3.27766e-05
5.155 2.94989e-05
5.165 3.93319e-05
5.175 3.44154e-05
5.185 4.58872e-05
5.195 4.58872e-05
5.205 4.01513e-05
5.215 5.65396e-05
5.225 3.60543e-05
5.235 4.3429e-05
5.245 3.60543e-05
5.255 2.78601e-05
5.265 3.93319e-05
5.275 3.52348e-05
5.285 3.03184e-05
5.295 5.57202e-05
5.305 2.78601e-05
5.315 2.54019e-05
5.325 4.01513e-05
5.335 3.93319e-05
5.345 3.52348e-05
5.355 3.44154e-05
5.365 3.93319e-05
5.375 3.11378e-05
5.385 3.11378e-05
5.395 2.3763e-05
5.405 3.76931e-05
5.415 3.19572e-05
5.425 3.52348e-05
5.435 3.76931e-05
5.445 3.68737e-05
5.455 4.09707e-05
5.465 4.75261e-05
5.475 2.86795e-05
5.485 3.85125e-05
5.495 2.70407e-05
5.505 3.03184e-05
5.515 3.52348e-05
5.525 3.76931e-05
5.535 4.01513e-05
5.545 2.94989e-05
5.555 3.76931e-05
5.565 2.04854e-05
5.575 1.80271e-05
5.585 2.54019e-05
5.595 2.78601e-05
5.605 2.13048e-05
5.615 1.80271e-05
5.625 1.88465e-05
5.635 1.47495e-05
5.645 1.88465e-05
5.655 2.21242e-05
5.665 2.54019e-05
5.675 1.88465e-05
5.685 2.62213e-05
5.695 1.31106e-05
5.705 1.72077e-05
5.715 2.04854e-05
5.725 2.21242e-05
5.735 2.3763e-05
5.745 1.88465e-05
5.755 2.45824e-05
5.765 2.04854e-05
5.775 2.54019e-05
5.785 2.3763e-05
5.795 1.55689e-05
5.805 1.14718e-05
5.815 2.54019e-05
5.825 1.31106e-05
5.835 2.13048e-05
5.845 2.04854e-05
5.855 2.3763e-05
5.865 2.3763e-05
5.875 2.13048e-05
5.885 1.31106e-05
5.895 1.63883e-05
5.905 2.21242e-05
5.915 1.22912e-05
5.925 1.9666e-05
5.935 1.80271e-05
5.945 1.31106e-05
5.955 2.13048e-05
5.965 2.78601e-05
5.975 2.29436e-05
5.985 2.70407e-05
5.995 1.9666e-05
6.005 1.63883e-05
6.015 1.72077e-05
6.025 1.31106e-05
6.035 1.63883e-05
6.045 1.72077e-05
6.055 1.72077e-05
6.065 2.29436e-05
6.075 1.22912e-05
6.085 2.54019e-05
6.095 1.63883e-05
6.105 1.80271e-05
6.115 2.78601e-05
6.125 1.80271e-05
6.135 2.13048e-05
6.145 1.9666e-05
6.155 1.72077e-05
6.165 1.47495e-05
6.175 1.88465e-05
6.185 1.55689e-05
6.195 1.9666e-05
6.205 2.21242e-05
6.215 1.39301e-05
6.225 1.72077e-05
6.235 1.63883e-05
6.245 1.72077e-05
6.255 1.39301e-05
6.265 2.04854e-05
6.275 1.31106e-05
6.285 1.55689e-05
6.295 1.22912e-05
6.305 1.72077e-05
6.315 1.39301e-05
6.325 1.72077e-05
6.335 1.14718e-05
6.345 1.9666e-05
6.355 1.14718e-05
6.365 9.01356e-06
6.375 9.01356e-06
6.385 1.22912e-05
6.395 1.06524e-05
6.405 9.01356e-06
6.415 1.47495e-05
6.425 1.22912e-05
6.435 1.14718e-05
6.445 1.55689e-05
6.455 2.13048e-05
6.465 1.31106e-05
6.475 2.04854e-05
6.485 1.31106e-05
6.495 1.63883e-05
6.505 1.63883e-05
6.515 1.72077e-05
6.525 1.39301e-05
6.535 2.54019e-05
6.545 1.31106e-05
6.555 1.06524e-05
6.565 9.01356e-06
6.575 7.37473e-06
6.585 1.72077e-05
6.595 1.06524e-05
6.605 9.01356e-06
6.615 1.55689e-05
6.625 8.19415e-06
6.635 1.80271e-05
6.645 1.06524e-05
6.655 9.01356e-06
6.665 7.37473e-06
6.675 5.7359e-06
6.685 1.31106e-05
6.695 8.19415e-06
6.705 9.01356e-06
6.715 1.22912e-05
6.725 9.01356e-06
6.735 1.14718e-05
6.745 1.22912e-05
6.755 8.19415e-06
6.765 3.27766e-06
6.775 5.7359e-06
6.785 9.83298e-06
6.795 5.7359e-06
6.805 9.83298e-06
